"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Kronärtskocka";342;"Grönsaker, baljväxter, svamp";52;217;0.2;2.7;7.3;5;84;0;0.8;2.6;2.5;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;3.9;0;47;0;0.2;;0.08;0.06;0.8;1.25;0.11;74;0;11;77;0;1.6;48;340;47;80;0.2;1;0.4;60
"Kålrabbi";343;"Grönsaker, baljväxter, svamp";29;122;0.1;1.7;4.4;1.8;91;0;1;2.9;2;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;24;0;0.2;;0.05;0.02;0.4;0.68;0.15;20;0;62;46;1;0.4;24;350;19;20;0;0.5;0.3;54
"Lök gul";344;"Grönsaker, baljväxter, svamp";39;163;0.1;1.2;7.3;1.9;89.1;0;0.5;4.5;3;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;2;0;0;0.5;0.04;0;0.14;0.3;0.16;20.4;0;7.8;33;2;0.2;31;190;11;3;0;0;0.1;6
"Majskolv";345;"Grönsaker, baljväxter, svamp";125;524;1.6;3.9;22.1;2.9;68.8;0;0.8;3.3;0.7;2.6;0;0;100;0.2;0;0;0;0.2;0;0;0.5;0;0.5;0.7;0.7;0;0;0;0;0;0;17.5;0;168;0;0.1;;0.14;0.08;1.7;2.09;0.18;97.5;0;7;105;0.5;0.5;3;294;39;0;0;0.5;0.5;64
"Majskolv frysvara";346;"Grönsaker, baljväxter, svamp";111;466;0.8;3.3;21.5;1.8;72;0;0.6;1.7;0.8;0.9;0;0;100;0.1;0;0;0;0.1;0;0;0.2;0;0.2;0.4;0.4;0;0;0;0;0;0;12.5;0;150;0;0.5;;0.1;0.09;1.7;2.03;0.18;40;0;7;87;0.5;0.7;4;294;32;5;0;0.5;0.7;45
"Majskorn frysvara";347;"Grönsaker, baljväxter, svamp";99;414;1.5;3;15.6;5.2;74.1;0;0.5;3.6;0.4;3.2;0;0;100;0.6;0.3;0;0;0.2;0.1;0;0.3;0;0.3;0.3;0.3;0;0;0;0;0;0;4.5;0;36;0;0.1;0.2;0.1;0.06;1.56;1.9;0.16;68.3;0;5.7;66;0;0.4;6;147;23;1;0;4;0.4;0
"Mangold";348;"Grönsaker, baljväxter, svamp";21;89;0.2;1.8;2.6;0.8;93;0;1.6;0.3;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;165;0;1980;0;1.5;;0.04;0.09;0.4;0.7;0.2;30;0;30;46;4;1.8;51;380;81;215;0.5;0.5;0.6;8
"Nässlor förvällda";349;"Grönsaker, baljväxter, svamp";30;128;0.7;4.1;0.6;2.7;90.7;0;1.2;0.1;0;0.1;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.4;0.1;0.3;0;0;0;0;0;227.5;0;2730;0;3.6;453;0.01;0.12;0.38;1.1;0.06;82.6;0;6.9;85;0;2.8;280;150;30;3;0;0;0.3;0
"Paprika grön";350;"Grönsaker, baljväxter, svamp";18;78;0.1;0.5;3;2;94.1;0;0.4;3;2.9;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.7;0;161;0;0.6;11.8;0.02;0;0.68;0.8;0.18;19.5;0;109;15;0;0.3;10;110;8;0;0;0;0.1;18
"Paprika röd";351;"Grönsaker, baljväxter, svamp";22;94;0.2;0.5;4.1;0.9;93.4;0;0.9;4.9;4.8;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.9;0;417;0;2.6;6.5;0.02;0.05;0.79;0.9;0.24;56.7;0;144;15;0;0.3;8;116;8;0;0;0;0.2;15
"Persilja blad";352;"Grönsaker, baljväxter, svamp";35;146;0.3;2.2;4.4;2.9;88;0;2.2;0.8;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.1;0.1;0;0;0;0;0;466.7;0;5600;0;2.7;;0.12;0.3;1.7;2.07;0.2;183;0;182;71;6;3.6;340;710;25;34;0.1;0.5;1.5;0
"Pumpa";353;"Grönsaker, baljväxter, svamp";26;109;0.1;1;4.4;1.7;92;0;0.8;2.7;2;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;960;0;1;;0.05;0.11;0.6;0.77;0.04;22;0;9;44;0;0.8;21;340;12;1;0;0;0.1;29
"Purjolök";354;"Grönsaker, baljväxter, svamp";30;123;0.2;1.6;4.1;2.7;90.9;0;0.6;4;3.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;27.8;0;332;0;0.8;53.5;0.08;0.06;0.48;0.7;0.21;72.4;0;20.3;29;2;0.6;44;240;11;6;0;0;0.2;8
"Rödkål";355;"Grönsaker, baljväxter, svamp";31;131;0.3;1.1;4.7;2.6;90.5;0;0.7;5;4.3;0.7;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;0.2;0;2;0;0;18;0.06;0;0.39;0.6;0.17;45.9;0;58.9;25;1.4;0.3;33;260;11;8;0;0;0.2;9
"Savojkål";357;"Grönsaker, baljväxter, svamp";28;119;0.1;2;3.6;2.5;91;0;0.8;3.2;3.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;600;0;0.6;;0.07;0.03;0.3;0.63;0.19;79;0;31;42;2.6;0.4;35;230;28;28;0.1;3.8;0.5;20
"Salladskål";358;"Grönsaker, baljväxter, svamp";21;86;0.1;1.3;2.7;1.6;93.7;0;0.6;2.5;2.4;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;1.2;0;15;0;0.3;;0.05;0.05;0.78;0.99;0.14;150;0;39;38;1.7;0.3;26;204;15;9;0;0.2;0.3;7
"Sockerärtor";359;"Grönsaker, baljväxter, svamp";37;155;0.2;3.4;4.3;2.2;89.3;0;0.6;3.5;2.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;36.2;0;432;0;0.4;61.7;0.17;0.09;0.82;1.4;0.12;46.8;0;66.4;67;1.7;1.2;60;230;33;1;0;4;0.6;6
"Spenat frysvara";361;"Grönsaker, baljväxter, svamp";20;84;0.6;2.2;0.5;2;93.8;0;0.9;0.6;0.3;0.3;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.3;0;0.2;0;0;0;0;0;242.9;0;2900;0;1.2;260;0.04;0.1;0.23;0.6;0.1;95.1;0;11.9;33;4;0.8;120;230;32;18;0;0;0.8;0
"Squash";362;"Grönsaker, baljväxter, svamp";14;61;0.1;0;2.5;1.8;95;0;0.6;3;2.9;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.1;0;177;0;0.6;26.6;0.03;0.04;0.45;0.5;0.09;30.4;0;23.9;28;0;0.3;20;148;17;0;0;0;0.4;5
"Tomat";364;"Grönsaker, baljväxter, svamp";18;73;0.1;0.8;2.6;1.3;94.7;0;0.5;2.8;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;43.2;0;518;0;0.7;3.4;0.03;0;0.58;0.7;0.1;16.6;0;14.8;22;2;0.2;12;240;9;2;0;0;0.1;0
"Tomat torkad m. olja";365;"Grönsaker, baljväxter, svamp";190;797;12.5;5;8.7;12.7;55;0;6.1;8.9;8.7;0.1;3;3;0;1.3;0;0;0;0.8;0.3;0;4.9;0;4.7;5.8;5.3;0.4;0;0;0;0;2;54.5;3;615;0;9.1;22.6;0.05;0.06;2.17;3;0.2;28.7;0.07;11.5;103;0.1;3.4;69;882;62;1238;3.1;5;0.6;0
"Trädgårdskrasse";366;"Grönsaker, baljväxter, svamp";37;156;0.7;2.6;4.3;1.6;89;0;1.8;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.1;0.2;0.2;0.1;0;0;0;0;0;216.7;0;2600;0;0.7;;0.08;0.26;1;1.43;0.25;30;0;35;76;0.9;1.3;81;600;25;14;0;0;0.2;29
"Vattenkrasse";367;"Grönsaker, baljväxter, svamp";15;64;0.3;1.9;0.5;1.5;94.8;0;1;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;132.4;0;1589;0;1;250;0.09;0.12;0.2;0.5;0.13;43;0;3;61;7;0.7;138;300;16;37;0.1;1;0.5;8
"Vaxbönor";368;"Grönsaker, baljväxter, svamp";32;136;0.1;1.8;4.7;2.7;90;0;0.7;1.4;1;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.6;0;55;0;0.4;;0.08;0.13;0.6;0.9;0.1;36;0;21;38;0.2;1.1;45;210;25;6;0;0.5;0.2;6
"Vaxbönor frysvara";369;"Grönsaker, baljväxter, svamp";29;120;0.1;1.8;3.8;2.7;91.1;0;0.5;1.4;1;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;60;0;0.3;;0.08;0.09;0.5;0.8;0.08;36;0;12;32;0.2;0.8;36;180;22;1;0;0.5;0.3;0
"Vitkål";370;"Grönsaker, baljväxter, svamp";30;123;0.1;1.1;4.7;2.6;90.8;0;0.6;5.7;5.3;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.5;0;6;0;0;44;0.05;0;0.32;0.5;0.17;19.1;0;46.2;24;2;0.2;41;240;11;7;0;0;0.1;14
"Vitlök";371;"Grönsaker, baljväxter, svamp";160;668;0.5;6.4;31.1;1.5;59;0;1.5;3.9;3;0.9;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;;0.2;0.11;0.7;1.77;0.13;3;0;31;153;2;1.7;181;400;25;17;0;20;1;13
"Aubergine";372;"Grönsaker, baljväxter, svamp";19;79;0.1;1.1;2.2;2.4;93.7;0;0.5;2.6;2.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;0;31;0;0.1;5.5;0.02;0;0.58;0.8;0.04;21.3;0;3.3;24;0;0.2;10;210;14;2;0;0;0.2;5
"Gröna ärtor frysvara";374;"Grönsaker, baljväxter, svamp";69;290;0.4;5.2;8.9;4.4;80.4;0;0.7;5;0;5;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;31;0;365;0;0;38.1;0.21;0.11;1.61;2.5;0.12;83.1;0;22.9;88;1.8;1.3;21;150;21;56;0.1;0;0.7;0
"Sparris grön el. vit färsk kokt. ";375;"Grönsaker, baljväxter, svamp";27;113;0.2;3.1;2.4;1.5;92;0;0.8;1.2;1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;26.7;0;320;0;2;;0.11;0.12;1.1;1.62;0.15;119;0;33;52;4;0.7;22;300;18;2;0;0.2;0.9;0
"Alfalfagroddar";376;"Grönsaker, baljväxter, svamp";32;133;0.7;4;0.9;3;91;0;0.4;0.8;0.4;0.4;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0.1;0.4;0.2;0.2;0;0;0;0;0;8;0;96;0;0.2;;0.08;0.13;0.5;1.17;0.03;36;0;8;70;1;1;32;79;27;6;0;1;0.9;0
"Dill färsk";377;"Grönsaker, baljväxter, svamp";58;241;0.8;3.7;7.4;2.8;83;0;2.3;0.8;0.5;0.3;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.5;0.2;0.3;0;0;0;0;0;375;0;4500;0;1.7;;0.19;0.43;2.4;3.02;0.3;36;0;70;85;6;3.2;343;750;44;26;0.1;0.5;1.8;10
"Gräslök";378;"Grönsaker, baljväxter, svamp";28;116;0.6;2.8;1.7;2.1;92;0;0.8;1.7;1.7;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.4;0.1;0.3;0;0;0;0;0;283.3;0;3400;0;1.6;;0.07;0.2;0.6;1.07;0.22;64;0;41;51;2;1.3;77;215;17;3;0;0.5;0.4;0
"Basilika färsk";379;"Grönsaker, baljväxter, svamp";25;104;0.6;2.5;0.4;3.9;91;0;1.6;0.3;0;0.3;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0.4;0.1;0.3;0;0;0;0;0;263.8;0;3142;0;0.8;;0.03;0.07;0.92;1.35;0.13;64;0;18;69;6;3.2;154;462;81;4;0;0.3;0.8;0
"Chilipeppar färsk";380;"Grönsaker, baljväxter, svamp";47;198;0.2;2;9.2;0;88;0;0.6;4.5;4.4;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;38.3;0;460;0;2.9;;0.09;0.09;1;1.33;0.28;23;0;240;46;0;1.2;18;340;25;7;0;0.5;0.3;15
"Paprika gul";381;"Grönsaker, baljväxter, svamp";24;98;0.2;0.5;4.3;1.4;93.2;0;0.5;5;4.8;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.8;0;133;0;2.1;5;0.03;0;0.81;0.9;0.22;41.2;0;163;16;0;0.3;7;123;8;0;0;0;0.1;18
"Paprika grön röd frysvara";382;"Grönsaker, baljväxter, svamp";26;107;0.4;1;3;3;92;0;0.6;3;2.9;0.1;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.1;0.1;0;0;0;0;0;125;0;1500;0;1.7;;0.08;0.08;1.5;1.67;0.14;14;0;100;10;0;0.5;30;91;8;65;0.2;0.5;0.1;0
"Champinjon skivad frysvara";383;"Grönsaker, baljväxter, svamp";19;78;0.4;2;0.8;2;94;0;0.8;0.2;0.2;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0;0.2;0;0;0;0;0;0.8;0;10;0;0.1;;0.09;0.32;5.5;5.83;0.18;12;0;10;75;0;0.3;12;270;12;15;0;2;0.5;0
"Linsgroddar";384;"Grönsaker, baljväxter, svamp";125;524;0.6;9;19.1;3;67.3;0;1;0.8;0.4;0.4;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0.1;0.2;0.2;0;0;0;0;0;0;2.5;0;30;0;0.4;;0.23;0.13;1.13;2.63;0.19;61;0;16.5;173;2.8;3.2;25;322;37;11;0;1;1.5;0
"Lök gul frysvara";385;"Grönsaker, baljväxter, svamp";28;119;0;1.5;4.1;3;91;0;0.4;4.8;3.1;1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;18;0;0.3;;0.03;0.04;0.2;0.45;0.09;21;0;10;25;2;0.5;35;142;10;10;0;0.5;0.1;0
"Grönsaksblandning m. ärtor bönor majs morot typ amerikansk frysvara";386;"Grönsaker, baljväxter, svamp";68;283;0.5;3.3;11.1;2.5;82;0;0.6;1.9;0.3;1.6;0;0;31;0.1;0;0;0;0.1;0;0;0;0;0;0.3;0.2;0.1;0;0;0;0;0;200;0;2400;0;0.3;;0.12;0.08;1.2;1.75;0.1;29;0;10;59;4.1;0.7;30;170;24;30;0.1;0.5;0.5;0
"Grönsaksblandning m. ärtor bönor morot blomkål typ sommargrönsaker frysvara";387;"Grönsaker, baljväxter, svamp";38;160;0.5;2.4;4.5;3;89;0;0.6;1.9;0.3;1.6;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.3;0.2;0.1;0;0;0;0;0;275;0;3300;0;0.3;;0.09;0.12;0.8;1.2;0.09;30;0;15;48;4.9;1.1;40;150;20;40;0.1;0.3;0.3;0
"Grönsaksblandning m. ärtor morot frysvara";388;"Grönsaker, baljväxter, svamp";60;252;0.5;3.7;9;2.2;84;0;0.6;1.9;0.3;1.6;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.2;0.1;0;0;0;0;0;258.3;0;3100;0;0.3;;0.18;0.11;1.2;1.82;0.1;36;0;12;28;2.1;1.1;49;145;18;50;0.1;0.2;0.5;0
"Grönsaksblandning m. ärtor majs paprika frysvara";389;"Grönsaker, baljväxter, svamp";66;278;0.5;4.2;8.7;5;81;0;0.6;1.9;0.3;1.6;0;0;31;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.2;0.1;0;0;0;0;0;28.8;0;345;0;0.3;;0.19;0.12;1.8;2.5;0.1;40;0;28;15;1.8;0.9;52;220;20;20;0;0.4;0.4;0
"Sallad m. grönsallat gurka tomat u. dressing";390;"Grönsaker, baljväxter, svamp";16;66;0.1;0.9;2.4;0.8;95.4;0;0.4;2.2;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;23.8;0;285;0;0.5;;0.03;0.01;0.41;0.56;0.08;37;0;14.7;26;2.2;0.3;18;201;10;4;0;0;0.2;5
"Paprika grön gul röd";392;"Grönsaker, baljväxter, svamp";22;92;0.2;0.5;4;1.3;93.5;0;0.6;4.6;4.4;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.4;0;252;0;2;7;0.02;0.02;0.78;0.88;0.22;43.1;0;144.6;15;0;0.3;8;118;8;0;0;0;0.1;17
"Bambuskott konserv. u. lag";393;"Grönsaker, baljväxter, svamp";24;101;0.2;2.7;1.7;2.3;92.8;0;0.3;1.2;0.9;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.01;0.04;0.1;0.6;0.02;36;0;0;38;0;0.3;19;77;4;3;0;0;0.4;0
"Gröna bönor konserv. u. lag";395;"Grönsaker, baljväxter, svamp";21;89;0.1;1.2;3;1.7;93;0;1;1.3;1;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;0;210;0;0.2;;0.09;0.06;0.1;0.3;0.04;32;0;5;19;1;0.5;26;109;13;251;0.6;0.5;0.2;0
"Champinjon konserv. m. lag";397;"Grönsaker, baljväxter, svamp";15;63;0.1;1.9;0.9;1.5;94;0;1.6;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;6;0;0;;0.02;0.25;2;2.32;0.06;12;0;2;68;0;0.5;6;197;8;400;1;2;0.9;0
"Majskorn konserv. u. lag";400;"Grönsaker, baljväxter, svamp";80;334;1.5;2.1;12.9;2.9;79.6;0;0.9;5.8;0.3;5.5;0;0;100;0.3;0.1;0;0;0.2;0;0;0.4;0;0.4;0.5;0.5;0;0;0;0;0;0;3.8;0;26;0;0.1;0;0.03;0.07;1.44;1.7;0.1;53.7;0;3.3;46;0;0.3;3;151;15;170;0.4;0;0.4;0
"Oliver gröna m. paprikafyllning avrunna";401;"Grönsaker, baljväxter, svamp";128;535;13.1;0.6;1.1;2.6;78.8;0;3.8;0;0;0;0;0;0;2;0;0;0;1.6;0.3;0;7.8;0.1;7.6;0.7;0.5;0.1;0;0;0;0;0;22;0;243;0;4.4;15;0;0;0.07;0.2;0.02;1.2;0;4.4;5;22.1;0.2;102;47;15;1360;3.4;0;0.1;0
"Oliver svarta m. olja avrunna";402;"Grönsaker, baljväxter, svamp";142;594;14.1;0.8;1.8;3.5;77.4;0;2.4;0;0;0;0;0;0;1.6;0;0;0;1.3;0.3;0;8.5;0.1;8.4;1.1;0.9;0.1;0;0;0;0;0;18;0;214;0;7;19.3;0;0.01;0.04;0.2;0.01;1.1;0;0;6;0;1.5;88;24;12;815;2;0;0.2;0
"Grönsaksblandning el. pickels sockrad inlagd u. lag";403;"Grönsaker, baljväxter, svamp";116;486;0.1;1.5;26.1;1.7;68.9;0;1.7;26.5;23.1;3.4;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;0;2100;0;0.2;;0.02;0.03;0.2;0.45;0.01;55;0;10;21;0;0.5;17;156;6;20;0;0.5;0.1;0
"Sparris vit konserv. u. lag";404;"Grönsaker, baljväxter, svamp";15;65;0.7;0.9;0.5;1.9;95;0;1.1;1.1;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;7;0;0.2;4.6;0.03;0.03;0.41;0.6;0.03;59.1;0;8;19;30.6;1.3;8;86;5;262;0.7;0;0.2;0
"Sparrissoppa tillagad redd konserv. veg.";405;"Rätter";35;145;1.7;0.9;3.7;0.5;92;0;1.2;0.6;0.5;0.1;1;1;0;0.4;0.1;0;0.1;0.2;0.1;0;0.4;0;0.4;0.8;0.8;0;0;0;0;0;0;9;0;108;0;0;;0.02;0.03;0.3;0.45;0;19;0;1;16;;0.3;12;71;2;402;1;0.2;0.4;0
"Surkål konserv. m. lag";406;"Grönsaker, baljväxter, svamp";17;70;0.2;0.9;2;1.7;93;0;2.2;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;1;0;12;0;0;;0.02;0.02;0.1;0.25;0.1;40;0;15;28;0.7;1.1;42;260;13;320;0.8;0;0.3;0
"Tomat hel konserv. m. lag";407;"Grönsaker, baljväxter, svamp";25;104;0.1;1.1;4.4;0.8;92.9;0;0.7;3.8;3.8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.3;0;300;0;1.3;2.9;0.13;0.04;1;1.2;0.12;11;0;11;17;3;0.6;11;212;10;5;0;0;0.1;0
"Tomatjuice konserv. drickf.";408;"Dryck";18;74;0.1;0.8;2.7;1.4;94;0;1;3.2;3.1;0.1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.2;0;590;0;0.2;;0.05;0.03;0.7;0.83;0.11;20;0;8;19;2;0.6;9;220;11;360;0.9;0.5;0.1;0
"Tomatpuré konc. konserv.";410;"Grönsaker, baljväxter, svamp";84;350;0.2;4.4;13.5;4.7;72.5;0;4.7;12.9;12.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;146.2;0;1633;0;5.1;3.4;0.98;0.12;3.6;4.3;0.28;39;0;43;94;24;1.4;45;1257;57;49;0.1;1;0.6;0
"Vaxbönor konserv. u. lag";411;"Grönsaker, baljväxter, svamp";24;99;0.3;1.4;2.5;2.7;92.2;0;0.9;1.3;0.9;0.4;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.1;0.1;0;0;0;0;0;5;0;60;0;0.2;;0.03;0.05;0.3;0.53;0.04;14;0;5;25;0.2;1.5;45;95;14;236;0.6;0.5;0.3;0
"Gröna ärtor konserv. m. lag";412;"Grönsaker, baljväxter, svamp";63;265;0.3;3.5;10.5;2;82.6;0;1.1;4;0.3;3.7;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;22.5;0;270;0;0.1;;0.16;0.05;0.9;1.48;0.05;28;0;9;66;2;1.7;20;96;20;236;0.6;0.3;0.7;0
"Gröna ärtor konserv. u. lag";413;"Grönsaker, baljväxter, svamp";60;253;0.4;4.4;7.3;4.9;82;0;1;3.6;0.2;3.4;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;33.3;0;400;0;0;;0.16;0.08;0.7;1.43;0.06;44;0;10;67;3;1;20;73;17;200;0.5;0.3;0.7;0
"Mungbönsgroddar konserv. u. lag";414;"Grönsaker, baljväxter, svamp";16;65;0.1;1.4;0.8;3;94.4;0;0.3;0.8;0.4;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;12;0;0.2;;0.03;0.07;0.2;0.43;0.04;10;0;0.3;32;0;0.4;14;27;9;250;0.6;1;0.2;0
"Sojabönsgroddar konserv. u. lag";415;"Grönsaker, baljväxter, svamp";16;69;0.2;1.6;0.6;3;94;0;0.6;0.4;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0.5;0;6;0;0.2;;0.02;0.01;0.2;0.47;0.03;12;0;1;20;0;1;13;36;10;80;0.2;1;0.8;0
"Paprikasallad inlagd u. lag";416;"Rätter";31;129;0.4;1;4.3;3;90;0;1.3;4.5;4.4;0.1;4;4;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.1;0.1;0;0;0;0;0;250;0;3000;0;0.8;;0.02;0.04;0.2;0.37;0.1;52;0;60;15;;0.2;6;170;11;527;1.3;1;0.3;0
"Ajvar relish";417;"Rätter";70;294;3.5;1.2;6.9;3.2;83.4;0;1.7;7.7;5;2.7;5;5;0;0.4;0;0;0;0.2;0.1;0;0.8;0;0.8;1.6;1.6;0;0;0;0;0;0;211;4;1900;0;5.4;6.3;0.03;0.2;1.2;1.4;0.59;51.7;0;60.7;27;8;0.9;11;228;12;493;1.2;0.3;0.2;0
"Svamp konserv. u. lag";418;"Grönsaker, baljväxter, svamp";23;95;0.5;2.5;0.9;2.3;93;0;0.8;0.2;0.2;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0.8;0;10;0;0;;0.02;0.2;3.5;3.92;0;12;0;2;40;0;0.6;1;160;6;165;0.4;2;0.9;0
"Kantarell konserv. u. lag";419;"Grönsaker, baljväxter, svamp";36;150;0.7;1.4;4.8;2.3;90;0;0.8;0.4;0.4;0;0;0;0;0.2;0;0;0;0.2;0;0;0;0;0;0.4;0.1;0.3;0;0;0;0;0;108.3;0;1300;2.5;0.1;;0.05;0.3;4.9;5.13;0.06;12;0;3;50;3.3;1;5;155;6;165;0.4;2;0.9;0
