"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Majonnäs fett 90% hemlagad";21;"Rätter";784;3281;87.8;1.5;0.4;0.1;9.1;0;0.8;0.1;0;0;0;0;0;9.3;0;0;0.1;6.6;1.9;0.4;57.5;0.6;55.7;17;12.4;4.4;0;0;0;0;75.3;53.7;53.3;4;0.69;20.5;;0.02;0.05;0;0.34;0.02;18.7;0.29;0.9;44;33;0.4;33;22;6;222;0.6;4.8;0.3;0
"Sesamsås m. grädde";22;"Rätter";362;1517;37.9;2.4;3.9;0.6;53.3;0.14;1.5;3.3;0.6;2.7;0;0;0;14.1;1.4;0.6;2;7.1;2.4;0.1;15.3;0.5;14.3;6;4.6;1.4;0;0;0;0;54.7;202.9;189.9;155;0.87;5.2;;0.04;0.07;0.16;0.66;0.04;9.6;0.27;0.8;71;50.1;0.3;86;115;15;401;1;1.9;0.4;1
"Gravlaxsås hovmästarsås hemlagad";23;"Rätter";438;1831;42.4;2.1;13.3;0.4;39.5;0;2.3;7.8;1;6.8;8;8;0;3;0;0;0;1.8;0.7;0.2;26;0.1;24.2;11.6;7.9;3.7;0;0;0;0;0;58.6;0;704;0;10.9;;0.06;0.69;0.76;1.09;0.08;10.4;0;10.9;65;52.9;1.1;88;174;29;572;1.4;0.1;0.6;2
"Gravlaxsås kylvara";24;"Rätter";555;2322;56;1.6;13.1;0;28;0;1.3;10.3;0.8;9.5;10;10;0;8.2;0;0;0;5.8;1.9;0.2;13.4;0;13.2;32;28;4;0;0;0;0;0;35;0;420;0;8;;0.01;0.02;0.1;0.37;0.02;0;0;10;44;;1.9;58;79;32;275;0.7;0;0.1;0
"Remouladsås";25;"Rätter";707;2961;78.8;1.4;1.1;0.3;17.3;0;0.8;0.5;0.3;0.2;0;0;0;8.3;0;0;0;5.9;1.7;0.4;51.6;0.5;50;15.2;11.2;4;0;0;0;0;67.6;59.1;47.8;135;0.62;18.5;;0.02;0.06;0.05;0.38;0.02;20.9;0.26;3.9;42;30;0.4;37;43;7;269;0.7;4.3;0.3;0
"Dressing vinägrett fett 45%";26;"Rätter";407;1702;44.2;0.7;3.1;0.2;48.3;0;3.6;0.3;0.2;0;0;0;0;3.1;0;0;0;1.9;0.7;0.3;27.1;0.1;26.1;12.1;8.3;3.8;0;0;0;0;0;0;0;0;0;11.6;;0.01;0.02;0.02;0.13;0;0.1;0;0.7;20;169.5;0.4;50;55;17;1346;3.3;0.9;0.1;0
"Smör fett 80%";29;"Fett, olja";729;3049;82;0.4;0.5;0;15.9;0;0.6;0.5;0;0.5;0;0;0;55;8.1;2.8;8.8;24.8;7.7;0.1;19.1;1.3;16.6;3;2.2;0.5;0.1;0;0;0;256;619.9;588;380;0.51;2.1;7.4;0;0;0;0.1;0;0;0;0;0;4;0;0;0;0;480;1.2;0;0;0
"Smör extrasaltat fett 80%";30;"Fett, olja";728;3044;81.8;0.6;0.5;0;15.9;0;1.2;0.4;0;0.4;0;0;0;52.4;6.1;2.6;8.5;25.3;8.4;0.2;22.7;1.6;19.8;2.9;2;0.4;0.1;0.1;0.1;0;256;697;667.3;369;0.56;1.8;;0.01;0.02;0.1;0.24;0;3;0;0;26;2.7;0.2;18;20;3;790;2;0.5;0.1;0
"Smör osaltat fett 80%";31;"Fett, olja";728;3044;81.8;0.6;0.5;0;15.9;0;1.2;0.4;0;0.4;0;0;0;52.4;6.1;2.6;8.5;25.3;8.4;0.2;22.7;1.6;19.8;2.9;2;0.4;0.1;0.1;0.1;0;256;697;667.3;369;0.56;1.8;;0.01;0.02;0.1;0.24;0;3;0;0;24;1.5;0.2;15;0;2;8;0;0.5;0;0
"Druvkärnolja";33;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;11.2;0;0;0;6.8;3.6;0.4;18.2;0.1;17.8;66.7;65.9;0.4;0;0;0;0;0;0;0;0;0;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Majsolja";34;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;12.9;0;0;0;10.3;1.8;0.4;28.2;0.1;27.7;54.5;53.6;0.9;0;0;0;0;0;0;0;0;0;16.8;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Olivolja";35;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;14.3;0;0;0;11.1;2.7;0.4;72.6;1.2;70.7;8.8;8.1;0.7;0;0;0;0;0;1;0;11;0;17.5;51.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tistelolja";37;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;6.2;2.2;0.3;10.9;0;10.6;75.7;75.5;0.2;0;0;0;0;0;0;0;0;0;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sesamolja";38;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;14.8;0;0;0;8.6;5.4;0.6;39.1;0;38.9;41.7;41.3;0.4;0;0;0;0;0;0;0;0;0;1.4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sojaolja";39;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;14.9;0;0;0;10.1;4.1;0.3;22.3;0;22;58.4;51.1;7.4;0;0;0;0;0;0;0;0;0;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Solrosolja";40;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;10.4;0;0;0.1;5.8;3.2;0.3;28.9;0.1;28.6;56.3;56.2;0.1;0;0;0;0;0;0;0;0;0;60.5;4.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vetegroddsolja";41;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;16.6;0;0;0;15.1;1.3;0.2;19.3;0;18;59.7;54.2;5.4;0;0;0;0;0;0;0;0;0;149;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.8;0
"Dressing konserv. fett ca 25%";42;"Rätter";262;1098;25;0.5;9.7;0;63;0;1.8;3.6;2.1;1.5;4;4;0;3.7;0;0;0;2.7;0.9;0;5.8;0;5.7;14.4;12.5;1.8;0;0;0;0;26;6;6;0;0;2.8;;0.01;0.03;0.1;0.18;0.02;0;0;0;14;7;0.2;9;9;2;710;1.8;0.5;0.1;0
"Dressing till sallad m. majonnäs fett ca 25% kylvara";45;"Rätter";303;1268;25;0.5;19.7;0;53.4;0;1.4;18.2;1.6;16.6;18;18;0;3.8;0;0;0;2.6;0.9;0.1;5.3;0;5.2;14.6;12.7;1.9;0;0;0;0;26;7;7;0;0;1.4;;0.01;0.02;0;0.13;0.02;4.5;0;0;2;7;0.1;14;22;4;690;1.7;0.5;0.1;0
"Dressing fett 0%";49;"Rätter";60;250;0;1.6;13.1;0;80;0;5.3;10.4;1.2;9.2;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0.2;;0;0;0;0.27;0;0;0;0;5;0;0.5;13;21;3;150;0.4;0;0;0
"Majonnäs fett 80%";50;"Rätter";666;2786;72.4;1.3;5;0;20.2;0;1;1.5;0;1.5;2;2;0;5;0;0;0;3.4;1;0.4;43.7;0.2;42.4;20.2;13.7;6.5;0;0;0;0;40.3;18.9;17.3;20;0.21;19.3;74.2;0.02;0.04;0;0.3;0;2.8;0.33;0;29;0;0.3;8;37;2;437;1.1;0;0.2;0
"Gurkmajonnäs gurksallad gatukök";51;"Rätter";333;1392;32;0.8;10.9;1.1;54;0;1.2;10.2;5.6;4.6;10;10;0;3.8;0;0;0;2.5;0.9;0.2;13.2;0.1;12.8;13.5;11.1;2.4;0;0;0;0;48;79.2;60;230;0;2.1;;0;0.01;0.34;0.54;0.01;12.8;0.2;0;50;1.6;0.6;24;24;10;187;0.5;0.4;0.2;0
"Räkmajonnäs räksallad gatukök";52;"Rätter";457;1914;48;5.2;2.9;0;42.5;0;1.4;1.2;0;1.2;1;1;0;5.7;0;0;0;3.8;1.4;0.2;19.6;0.1;18.9;20.4;16.8;3.6;0;0;0;0;101;93;93;0;0.12;3.2;;0.01;0.03;0.4;1.7;0.07;10;1;0;71;7.9;0.7;31;30;14;397;1;4.5;0.3;0
"Majonnäs lätt fett 30%";53;"Rätter";323;1350;30.9;1.5;10.7;0;55.7;0;1.3;3.9;0;3.9;4;4;0;2.1;0;0;0;1.4;0.4;0.2;19;0.1;18.5;8.3;5.6;2.6;0;0;0;0;21.5;18;4.4;160;0;9.2;31.5;0.02;0.05;0.06;0.4;0;1.6;0.2;0;41;0;0.3;34;93;5;541;1.4;0;0.2;0
"Mimosasallad";55;"Rätter";147;614;11.8;0.8;9.1;1.4;76.2;0;0.8;8.2;4.8;3.4;0;0;0;3.2;0.3;0.1;0.4;1.8;0.6;0;6.1;0.1;5.8;1.6;1.2;0.4;0;0;0;0;17.5;43.8;37.2;60;0.07;2.4;;0.07;0.03;0.39;0.53;0.04;13.1;0.06;15.1;22;20.9;0.2;19;131;7;153;0.4;0.6;0.1;13
"Rödbetssallad m. gräddfil";56;"Rätter";67;279;2;1.2;10;1.5;83.8;0;1.5;9.5;3.8;5.7;5;5;0;1.3;0.2;0.1;0.2;0.6;0.2;0;0.5;0;0.4;0.1;0.1;0;0;0;0;0;5.7;17.7;16.2;18;0.01;0.1;;0.01;0.02;0.09;0.38;0.05;14.6;0.04;2.8;27;44.6;0.2;30;142;8;464;1.2;0.3;0.2;2
"Sallad m. skaldjur majonnäsdressing";57;"Rätter";111;463;8.5;5.8;2.4;1;80.7;0;1.3;1.7;1.1;0.6;0;0;0;1.6;0.1;0;0.1;1;0.3;0;4.6;0.1;4.4;1.6;1;0.4;0;0;0;0;52;54.3;30.7;281;0.25;2.9;;0.05;0.12;0.86;1.97;0.07;33;1.2;8;85;34;0.8;34;165;19;260;0.7;12.2;0.7;17
"Bearnaisesås hemlagad";58;"Rätter";510;2133;55.9;2.6;1.2;0.1;38.7;0;0.9;0.4;0.2;0.2;0;0;0;6.3;0.1;0;0.1;4;1.4;0.3;31.1;0.3;30;15.5;11.7;3.7;0.1;0;0;0;152.7;196.5;184.1;145;3.66;16.3;;0.03;0.07;0.03;0.66;0.03;38.3;0.48;2.8;86;26;0.6;31;41;5;222;0.6;9;0.6;0
"Hollandaisesås hemlagad";59;"Rätter";501;2094;54.9;3;0.7;0;39.2;0;1.4;0.4;0.1;0.3;0;0;0;28.1;2.6;1.5;3.1;15.8;3.5;0;17.2;0.5;17.4;7.2;4.4;1.5;0.1;0;0;0.1;250.2;559.1;536.8;265;7.11;7.2;;0.03;0.08;0;0.74;0.03;40.6;0.54;2;91;30.1;0.5;26;24;3;467;1.2;10.2;0.6;0
"Rhode Islandsås hemlagad";60;"Rätter";359;1504;36.7;2;6.4;0.4;52.8;0;1.7;5.5;1.8;3.7;3;3;0;9;0.8;0.3;1;4.9;1.6;0.1;20.1;0.3;19.3;5.5;4;1.4;0;0;0;0;50.5;142.5;97;546;0.25;7;;0.04;0.08;0.36;0.79;0.05;15.6;0.21;4.6;53;43.4;0.5;52;171;11;452;1.2;2.2;0.3;0
